"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"8be59410cbe62ca01b524852a58437be","d__Archaea","p__Nanoarchaeota","c__Nanoarchaeia","o__Woesearchaeales","f__SCGC_AAA011-D5","g__SCGC_AAA011-D5","d__Archaea"
"18a7bc0cd79624f2c2ea5c8b384cd134","d__Archaea","p__Nanoarchaeota","c__Nanoarchaeia","o__Woesearchaeales","f__SCGC_AAA011-D5","g__SCGC_AAA011-D5","d__Archaea"
"9fbc857cd039ecab191aa51ae1b1f650","d__Archaea","p__Nanoarchaeota","c__Nanoarchaeia","o__Woesearchaeales","d__Archaea","p__Nanoarchaeota","c__Nanoarchaeia"
"d93c22c3cb845994540917a398a56055","d__Archaea","p__Nanoarchaeota","c__Nanoarchaeia","o__Woesearchaeales","d__Archaea","p__Nanoarchaeota","c__Nanoarchaeia"
"ffb658726e8f8134368faa3221c8d9fd","d__Archaea","p__Nanoarchaeota","c__Nanoarchaeia","o__Woesearchaeales","d__Archaea","p__Nanoarchaeota","c__Nanoarchaeia"
"0b8f58d7d3200fc00c5154cf9bffae43","d__Archaea","p__Nanoarchaeota","c__Nanoarchaeia","o__Woesearchaeales","f__Woesearchaeales","g__Woesearchaeales","d__Archaea"
"dd9bf642d332d19c37eb80e66fd11bca","d__Archaea","p__Nanoarchaeota","c__Nanoarchaeia","o__Woesearchaeales","f__Woesearchaeales","g__Woesearchaeales","d__Archaea"
"417ca244e86be71970226af4d5f0df8e","d__Archaea","p__Nanoarchaeota","c__Nanoarchaeia","o__Woesearchaeales","f__Woesearchaeales","g__Woesearchaeales","d__Archaea"
"cac9fd890159e63298784bc6185be774","d__Archaea","p__Nanoarchaeota","c__Nanoarchaeia","o__Woesearchaeales","f__Woesearchaeales","g__Woesearchaeales","d__Archaea"
"60dd8f332fb69344830aee0edc070ce5","d__Archaea","p__Nanoarchaeota","c__Nanoarchaeia","o__Woesearchaeales","f__Woesearchaeales","g__Woesearchaeales","s__uncultured_euryarchaeote"
"f1d81b8d41db94a0bb4377f7d30bb0e9","d__Archaea","p__Aenigmarchaeota","c__Deep_Sea_Euryarchaeotic_Group(DSEG)","o__Deep_Sea_Euryarchaeotic_Group(DSEG)","f__Deep_Sea_Euryarchaeotic_Group(DSEG)","g__Deep_Sea_Euryarchaeotic_Group(DSEG)","s__uncultured_archaeon"
"bc21888a7d3f2901e8752f004cec463c","d__Archaea","p__Aenigmarchaeota","c__Deep_Sea_Euryarchaeotic_Group(DSEG)","o__Deep_Sea_Euryarchaeotic_Group(DSEG)","f__Deep_Sea_Euryarchaeotic_Group(DSEG)","g__Deep_Sea_Euryarchaeotic_Group(DSEG)","s__uncultured_archaeon"
"f6d5e359ae6fc63b392995a709e9d17f","d__Archaea","p__Aenigmarchaeota","c__Deep_Sea_Euryarchaeotic_Group(DSEG)","o__Deep_Sea_Euryarchaeotic_Group(DSEG)","f__Deep_Sea_Euryarchaeotic_Group(DSEG)","g__Deep_Sea_Euryarchaeotic_Group(DSEG)","s__uncultured_archaeon"
"3c2b210160172dc28b3989a576326a13","d__Archaea","p__Euryarchaeota","c__Thermococci","o__Methanofastidiosales","f__uncultured","g__uncultured","s__uncultured_archaeon"
"119ed7141aac912d43e095560c47f424","d__Archaea","p__Euryarchaeota","c__Thermococci","o__Methanofastidiosales","f__uncultured","g__uncultured","s__uncultured_archaeon"
"f584ab209256c9818b60d07101dcf0fe","d__Archaea","p__Micrarchaeota","c__Micrarchaeia","o__Micrarchaeales","f__Micrarchaeales","g__Micrarchaeales","s__uncultured_archaeon"
"76b58ee98ca410510d3798246d8b1b47","d__Archaea","p__Micrarchaeota","c__Micrarchaeia","o__Micrarchaeales","f__Micrarchaeales","g__Micrarchaeales","s__uncultured_archaeon"
"b92b48a33bc8335c78c71426dc4932a5","d__Archaea","p__Micrarchaeota","c__Micrarchaeia","o__Micrarchaeales","f__Micrarchaeales","g__Micrarchaeales","s__uncultured_archaeon"
"0fb04ee00fdf61da8e7da4c97a835a55","d__Archaea","p__Micrarchaeota","c__Micrarchaeia","o__Micrarchaeales","f__Micrarchaeales","g__Micrarchaeales","s__uncultured_archaeon"
"0f9d538bc59aea1941d2f6a060ffa850","d__Archaea","p__Micrarchaeota","c__Micrarchaeia","o__Micrarchaeales","f__Micrarchaeales","g__Micrarchaeales","s__uncultured_euryarchaeote"
"d28372fcaedb0c49db925bc91a4a6f6b","d__Archaea","p__Micrarchaeota","c__Micrarchaeia","o__Micrarchaeales","f__CG1-02-32-21","g__CG1-02-32-21","s__uncultured_archaeon"
"a584c523c860735731effc319fc0b188","d__Archaea","p__Micrarchaeota","c__Micrarchaeia","o__Micrarchaeales","f__CG1-02-32-21","g__CG1-02-32-21","s__uncultured_archaeon"
"8d316850f28e22ce1986fb2db9fa5338","d__Archaea","p__Micrarchaeota","c__Micrarchaeia","o__Micrarchaeales","f__CG1-02-32-21","g__CG1-02-32-21","s__uncultured_euryarchaeote"
"764abaea0ce03b1b69d44dad4f999d9b","d__Archaea","p__Micrarchaeota","c__Micrarchaeia","o__Micrarchaeales","f__CG1-02-32-21","g__CG1-02-32-21","s__uncultured_archaeon"
"b80045cfae70db20ce2f964eb7226389","d__Archaea","p__Micrarchaeota","c__Micrarchaeia","o__Micrarchaeales","f__CG1-02-32-21","g__CG1-02-32-21","s__uncultured_euryarchaeote"
"5650a6fade3331d73d981274b6f47f1c","d__Archaea","p__Micrarchaeota","c__Micrarchaeia","o__Micrarchaeales","f__CG1-02-32-21","g__CG1-02-32-21","s__uncultured_euryarchaeote"
"f9d171a82c48ca84cdd3c758f13f6b9d","d__Archaea","p__Micrarchaeota","c__Micrarchaeia","o__Micrarchaeales","f__CG1-02-32-21","g__CG1-02-32-21","s__uncultured_euryarchaeote"
"e2989869016821304a7b225724dbc2ce","d__Archaea","p__Aenigmarchaeota","c__Deep_Sea_Euryarchaeotic_Group(DSEG)","o__Deep_Sea_Euryarchaeotic_Group(DSEG)","f__Deep_Sea_Euryarchaeotic_Group(DSEG)","g__Deep_Sea_Euryarchaeotic_Group(DSEG)","s__uncultured_archaeon"
"8b8231d765d0ab4d3d6f9bac3cb669d1","d__Archaea","p__Thermoplasmatota","c__Thermoplasmata","o__uncultured","f__uncultured","g__uncultured","s__uncultured_archaeon"
"94a3ce85bedc7a634a5df18b6a585d6c","d__Archaea","p__Thermoplasmatota","c__Thermoplasmata","o__uncultured","f__uncultured","g__uncultured","s__uncultured_archaeon"
"88989d628cc25a53f720920acb152498","d__Archaea","p__Thermoplasmatota","c__Thermoplasmata","o__Marine_Benthic_Group_D_and_DHVEG-1","f__Marine_Benthic_Group_D_and_DHVEG-1","g__Marine_Benthic_Group_D_and_DHVEG-1","d__Archaea"
"72e62e839a040977a8bbd325f7a41c96","d__Archaea","p__Thermoplasmatota","c__Thermoplasmata","o__Marine_Benthic_Group_D_and_DHVEG-1","f__Marine_Benthic_Group_D_and_DHVEG-1","g__Marine_Benthic_Group_D_and_DHVEG-1","s__uncultured_euryarchaeote"
"dd0a835e55bb7bea5ab2ad44d5e5b008","d__Archaea","p__Thermoplasmatota","c__Thermoplasmata","o__Marine_Benthic_Group_D_and_DHVEG-1","f__Marine_Benthic_Group_D_and_DHVEG-1","g__Marine_Benthic_Group_D_and_DHVEG-1","s__uncultured_Thermoplasmata"
"a11a2f36f3350d37fcc048595140f579","d__Archaea","p__Thermoplasmatota","c__Thermoplasmata","o__Marine_Group_II","f__Marine_Group_II","g__Marine_Group_II","s__uncultured_haloarchaeon"
"fd1828e9407f2433c257a610b04427a1","d__Archaea","p__Thermoplasmatota","c__Thermoplasmata","o__Marine_Group_II","f__Marine_Group_II","g__Marine_Group_II","d__Archaea"
"8f28b122ab9a1e54946c0e9c50a064fc","d__Archaea","p__Thermoplasmatota","c__Thermoplasmata","o__Marine_Group_II","f__Marine_Group_II","g__Marine_Group_II","s__uncultured_euryarchaeote"
"be7d95dbcf8aae5899a0e20d42232cc6","d__Archaea","p__Thermoplasmatota","c__Thermoplasmata","o__Methanomassiliicoccales","f__uncultured","g__uncultured","s__uncultured_archaeon"
"346343c14f208d54d8f8dd1ada544f96","d__Archaea","p__Thermoplasmatota","c__Thermoplasmata","o__uncultured","f__uncultured","g__uncultured","d__Archaea"
"283c1e5fd2ac2ae6cb02b6c52ff37294","d__Archaea","p__Thermoplasmatota","c__Thermoplasmata","o__uncultured","f__uncultured","g__uncultured","s__uncultured_archaeon"
"d4fc47011046b9e59a5a141328b0ec8e","d__Archaea","p__Thermoplasmatota","c__Thermoplasmata","o__Marine_Group_II","f__Marine_Group_II","g__Marine_Group_II","s__uncultured_archaeon"
"90a2393938b4ca56d8f5fe284c9fb3e1","d__Archaea","p__Thermoplasmatota","c__Thermoplasmata","o__Marine_Group_II","f__Marine_Group_II","g__Marine_Group_II","s__uncultured_archaeon"
"4429cc1f611ff72970a5155e6bc93ce0","d__Archaea","p__Thermoplasmatota","c__Thermoplasmata","o__Methanomassiliicoccales","f__uncultured","g__uncultured","d__Archaea"
"473d0b86af784d4111683d9fbfbbde1d","d__Archaea","p__Thermoplasmatota","c__Thermoplasmata","o__Methanomassiliicoccales","f__Methanomassiliicoccaceae","g__uncultured","s__uncultured_archaeon"
"0b159d508cd3fbf47d1696b291a565bb","d__Archaea","p__Thermoplasmatota","c__Thermoplasmata","o__Methanomassiliicoccales","f__Methanomethylophilaceae","g__Candidatus_Methanogranum","s__uncultured_archaeon"
"88f327758d6ca041f540ff949654c721","d__Archaea","p__Thermoplasmatota","c__Thermoplasmata","o__Methanomassiliicoccales","f__Methanomethylophilaceae","d__Archaea","p__Thermoplasmatota"
"d5e1ab65404f27f73d6c2e70a4883b60","d__Archaea","p__Thermoplasmatota","c__Thermoplasmata","o__Marine_Group_II","f__Marine_Group_II","g__Marine_Group_II","s__marine_metagenome"
"0a13902e2d76939866bdb23e823baaa3","d__Archaea","p__Thermoplasmatota","c__Thermoplasmata","o__Marine_Group_II","f__Marine_Group_II","g__Marine_Group_II","s__marine_metagenome"
"9a2def5da93769128d8a3502889fd8f0","d__Archaea","p__Halobacterota","c__uncultured","o__uncultured","f__uncultured","g__uncultured","s__uncultured_Methanomicrobia"
"487dbd68066819ed642f2d7d70b04559","d__Archaea","p__Halobacterota","c__Methanosarcinia","o__Methanosarciniales","f__Methanoperedenaceae","g__Candidatus_Methanoperedens","d__Archaea"
"f0828d8636e868ae25703be5e1f2a361","d__Archaea","p__Hadarchaeota","c__Hadarchaeia","o__Hadarchaeia","f__Hadarchaeales","g__Hadarchaeales","s__uncultured_archaeon"
"a9d7209a0a7e81436838915d09f14b64","d__Archaea","p__Aenigmarchaeota","c__Aenigmarchaeia","o__Aenigmarchaeales","f__Aenigmarchaeales","g__Aenigmarchaeales","d__Archaea"
"f83f7a26927a3172b0cc8a76b3f90262","d__Archaea","p__Aenigmarchaeota","c__Aenigmarchaeia","o__Aenigmarchaeales","f__Aenigmarchaeales","g__Aenigmarchaeales","s__uncultured_euryarchaeote"
"c9cd656846bae51d093a2bb7da497e6f","d__Archaea","p__Aenigmarchaeota","c__Aenigmarchaeia","o__Aenigmarchaeales","f__Aenigmarchaeales","g__Aenigmarchaeales","s__uncultured_archaeon"
"54b66a9343bd2a7dae2fae99d54a76a0","d__Archaea","p__Aenigmarchaeota","c__Aenigmarchaeia","o__Aenigmarchaeales","f__Aenigmarchaeales","g__Aenigmarchaeales","d__Archaea"
"3f68f1b0f4393ceb55b76a72a7d588d8","d__Archaea","p__Aenigmarchaeota","c__Aenigmarchaeia","o__Aenigmarchaeales","f__Aenigmarchaeales","g__Aenigmarchaeales","s__uncultured_euryarchaeote"
"509b5781856c79b94335efdf64604987","d__Archaea","p__Aenigmarchaeota","c__Aenigmarchaeia","o__Aenigmarchaeales","f__Aenigmarchaeales","g__Candidatus_Aenigmarchaeum","s__uncultured_archaeon"
"ed93c8dd6ea4347d8050a29edca1d904","d__Archaea","p__Aenigmarchaeota","c__Deep_Sea_Euryarchaeotic_Group(DSEG)","o__Deep_Sea_Euryarchaeotic_Group(DSEG)","f__Deep_Sea_Euryarchaeotic_Group(DSEG)","g__Deep_Sea_Euryarchaeotic_Group(DSEG)","s__uncultured_archaeon"
"718fdd0f898a8056cbe1f7b6aaddad00","d__Archaea","p__Aenigmarchaeota","d__Archaea","p__Aenigmarchaeota","d__Archaea","p__Aenigmarchaeota","d__Archaea"
"82289d8dffe0c994d0549ee671cff322","d__Archaea","p__Aenigmarchaeota","c__Aenigmarchaeia","o__Aenigmarchaeales","f__Aenigmarchaeales","g__Aenigmarchaeales","s__uncultured_archaeon"
"7d7cd33711f4b921f1cfa082271eef4e","d__Archaea","p__Aenigmarchaeota","c__Aenigmarchaeia","o__Aenigmarchaeales","f__Aenigmarchaeales","g__Aenigmarchaeales","s__uncultured_archaeon"
"2013da8dff935034ed5f1b1cd4f1906d","d__Archaea","p__Euryarchaeota","c__Methanobacteria","o__Methanobacteriales","f__Methanobacteriaceae","g__uncultured","s__uncultured_archaeon"
"95d11e092d250c5eb6383ecb7c605d76","d__Archaea","p__Euryarchaeota","c__Methanobacteria","o__Methanobacteriales","f__Methanobacteriaceae","g__Methanobacterium","s__uncultured_archaeon"
"2b2c0512e74cc90ec763e0ee0a6ceaf8","d__Archaea","p__Euryarchaeota","c__Methanobacteria","o__Methanobacteriales","f__Methanobacteriaceae","g__Methanobacterium","s__Methanobacterium_lacus"
"3f2b805aaecc24a5e0f0638b94cea81e","d__Archaea","p__Euryarchaeota","d__Archaea","p__Euryarchaeota","d__Archaea","p__Euryarchaeota","d__Archaea"
"0fab4e0bdb1cd1c2cc77f27ea72bc4db","d__Archaea","p__Crenarchaeota","c__Bathyarchaeia","o__Bathyarchaeia","f__Bathyarchaeia","g__Bathyarchaeia","s__uncultured_Bathyarchaeota"
"b30f729c9ff68b0f61a9bdf9f95aa30d","d__Archaea","p__Crenarchaeota","c__Bathyarchaeia","o__Bathyarchaeia","f__Bathyarchaeia","g__Bathyarchaeia","s__uncultured_euryarchaeote"
"8298b4212c5b8d0ee41deced84b8f5fc","d__Archaea","p__Crenarchaeota","c__Bathyarchaeia","o__Bathyarchaeia","f__Bathyarchaeia","g__Bathyarchaeia","s__uncultured_euryarchaeote"
"d7a8d1b28439a66dba5d0ad4131c3bdb","d__Archaea","p__Crenarchaeota","c__Bathyarchaeia","o__Bathyarchaeia","f__Bathyarchaeia","g__Bathyarchaeia","s__uncultured_Thermoprotei"
